Datum,Altersgruppe,Todesfaelle
2016-W21,90-94,2145
2016-W21,95+,834
2016-W21,Insgesamt,16286
2016-W22,0-29,151
2016-W22,30-34,39
2016-W22,35-39,68
2016-W22,40-44,103
2016-W22,45-49,261
2016-W22,50-54,440
2016-W22,55-59,663
2016-W22,60-64,906
2016-W22,65-69,1118
2016-W22,70-74,1346
2016-W22,75-79,2547
2016-W22,80-84,2794
2016-W22,85-89,3022
2016-W22,90-94,2120
2016-W22,95+,768
2016-W22,Insgesamt,16346
2016-W23,0-29,162
2016-W23,30-34,59
2016-W23,35-39,62
2016-W23,40-44,106
2016-W23,45-49,247
2016-W23,50-54,454
2016-W23,55-59,646
2016-W23,60-64,843
2016-W23,65-69,1014
2016-W23,70-74,1361
2016-W23,75-79,2474
2016-W23,80-84,2646
2016-W23,85-89,2846
2016-W23,90-94,2108
2016-W23,95+,771
2016-W23,Insgesamt,15799
